Module ID,Module Title,Primary Role(s),Status - Outline,Status - Student Guide,Status - Instructor Guide,Status - Slide Deck,Status - Exercise,Status - Answer Key,Status - Quiz,Owner,Target Completion,Notes
0,Front door,SOC / Hunter / CTI / DE,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,Cluster heading only — children are 0.1–0.5 plus shared floor in 00-intro
0.1,How this course is laid out,SOC / Hunter / CTI / DE,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,First hour; rewritten; no hand-off task; no lab; Accepted 2026-08-16
0.2,What a SOC is,SOC / Hunter / CTI / DE,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,Was 0.1; retagged; DYA/PRD live here; Accepted 2026-08-16
0.3,Jobs in one sentence,SOC / Hunter / CTI / DE,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,Was 0.2; retagged; Accepted 2026-08-16
0.4,How work can move,SOC / Hunter / CTI / DE,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,Was 0.3; includes 0.4.1 hand-off task; Accepted 2026-08-16
0.5,Where the jobs lightly overlap,SOC / Hunter / CTI / DE,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,Was 0.4; retagged; Accepted 2026-08-16
1.1.1,Endpoint Activity (the map),SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,New map hour; no lab; Accepted 2026-08-16
1.1.2,Process Activity,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.1.3,File System Activity,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.1.4,Network Activity (Endpoint),SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.1.5,Registry Activity,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.1.6,Image and Driver Load Activity,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.2.1,Zeek Concepts,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,K only; PCAP mention only; no lab; Accepted 2026-08-16
1.2.2,Conn Engine,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.2.3,DNS Engine,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.2.4,TLS Engine,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.2.5,HTTP Engine,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.2.6,SMTP Engine,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.2.7,Files Engine,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.2.8,Weird Engine,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.3.1,SIGMA Rules,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.3.2,Suricata Rules,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.3.3,YARA Rules,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.3.4,SIEM Rules,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.4.1,Alert Context and Investigation,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.4.2,Alert Classification,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.4.3,Common False Positive Causes,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.4.4,Common Alert Categorizations,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.4.5,SLA / Response Time Goals,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
0.6.1,MITRE ATT&CK,SOC / Hunter / CTI / DE,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
0.6.2,Diamond Model,SOC / Hunter / CTI / DE,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
0.6.3,Cyber Kill Chain,SOC / Hunter / CTI / DE,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
0.7,External Tools,SOC / Hunter / CTI / DE,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; was 2.3.2; Accepted 2026-08-16
0.8,Environment / signal flow,SOC / Hunter / CTI / DE,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,obtain from your shop; no invented site card; no lab; Accepted 2026-08-16
1.5.1,Report Types,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.5.2,Reporting Timelines,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.5.3,Notification and Distribution,SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
1.7.1,Shift Changeover Process,SOC / Hunter / CTI,Deferred,Deferred,Deferred,Deferred,Not Started,Deferred,Not Started,,,Retired — removed from 00
1.7.2,Changeover Report Content,SOC / Hunter / CTI,Deferred,Deferred,Deferred,Deferred,Not Started,Deferred,Not Started,,,Retired — removed from 00
1.8.2,PCAP Handling,SOC / Hunter / CTI,Deferred,Deferred,Deferred,Deferred,Not Started,Deferred,Not Started,,,Retired
1.8.3,Tool Access and Requests,SOC / Hunter / CTI / DE,Deferred,Deferred,Deferred,Deferred,Not Started,Deferred,Not Started,,,Retired — removed from 00
1.8.4,Investigation Documentation,SOC / Hunter / CTI,Deferred,Deferred,Deferred,Deferred,Not Started,Deferred,Not Started,,,Retired — removed from 00
